,Text,Emotion,Flag,Category,Flag_type,,,,,,,,,,,,,,,,,,,,
,Have fun getting drinks with your colleagues.,Happy,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Have you seen my phone charger? I can't seem to find it.,frustration,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Have you thought about where you want to go for our next vacation?,Happy,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,How do you feel about adopting a pet?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,How do you feel about painting the walls a new color?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,How do you feel about trying out that new coffee place downtown?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,How was work today? Anything exciting happen?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,How was work today? You seem upset.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,How was your lunch break today?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,How was your meeting today? Was it productive?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,How’s your book coming along? Enjoying it?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,How's your family doing? Any news from your sister?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,How's your new coworker settling in?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,How’s your workout routine going?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I accept you completely.,Happy,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I accept you exactly as you are.,Happy,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I accept you just the way you are.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I admire how honest you were in that difficult conversation with your boss.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"I admire your honesty, even when it’s difficult.",Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"I admire your honesty, even when the truth is hard.",Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I admire your perspective on things.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I admire your strong moral values.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I admit I overreacted last night I'm sorry for causing unnecessary tension.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"I always desire you, but I don't always have the energy.",Sad,Green_Flag,sexual_boundaries,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I always strive to be honest with you.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I always strive to be kind because you deserve it.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I always try to treat you with kindness because you deserve it.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I am always here to listen to you.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I am committed to being truthful and honest with you.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I am getting angry. I need a moment to calm down.,Angry,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I am unhappy about something. Can we talk?,Sad,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I am willing to forgive and move forward.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I apologize for not being honest with you. I'll be more transparent moving forward.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I apologize for not being more supportive of your goals. I'll try to be your biggest cheerleader.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I apologize for not considering your perspective. I'll make an effort to understand you more.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I apologize for not following through on my promise. I'll do better in the future.,Sad,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I apologize for not giving you the attention you deserve. I'll prioritize our time together.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate how transparent you are with me.,Sad,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate how we both take turns cooking dinner.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate how we can discuss even the difficult topics.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate how you always keep track of our appointments.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate how you always listen to me.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate how you always make sure I'm comfortable.,Happy,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate how you always pay our bills on time.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"I appreciate how you always tell me the truth, even when it’s tough.",Sad,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate how you always treat my family with kindness.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate how you communicate your needs clearly.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate how you treat my friends with kindness.,Happy,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate our joint efforts.,Happy,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate that we both take turns planning date nights.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate that we can talk about anything without judgment.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate that you never try to change me.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate that you respect my weekly book club meetings.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate you being so honest about your feelings yesterday.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate you checking in with me before trying something new.,Happy,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate your boundaries and always try to honor them.,Normal,Green_Flag,sexual_boundaries,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I appreciate your reliability.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I believe in you,Normal,Green_Flag,freedom_and_support,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I believe in you and our relationship wholeheartedly.,Happy,Green_Flag,clear_communication,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I believe in your honesty.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I believe in your loyalty.,Happy,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I believe in your promises.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I can see your point of view,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I can trust you with anything.,Happy,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I can't believe you didn't notice that girl trying to flirt with you.  ,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I cherish you.  ,Happy,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I cherish your kindness.,Happy,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I don't care if you take a bath.  Take all the time you need. ,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I don't have to worry about you forgetting. ,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I don't want to go to bed angry.,Angry,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I encourage you to pursue your interest in knitting.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I encourage your personal goals.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I enjoy all the little adventures we go on.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I enjoy our deep and meaningful conversations.,Happy,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I enjoy our lighthearted moments.,Happy,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I enjoy our playful moments.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I enjoy spending time with you.,Happy,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I feel comfortable talking to you about anything.,Happy,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I feel loved for who I truly am when I'm with you.,Normal,Green_Flag,trusting,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I feel safe sharing my secrets with you.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I feel safe sharing my thoughts with you.,Happy,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I feel secure knowing I can rely on you.,Happy,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I feel secure knowing you always keep your promises.,Happy,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I feel secure leaving you with my secrets.,Happy,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I found a new podcast series. Do you want to listen to it together?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I found an interesting article on climate change. Do you want to read it?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I fully support you in your decision to join that fitness class.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I fully support your decision to join that volunteer group.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I fully support your decision to take those art classes.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I had a blast playing board games with you last night.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I had so much fun at the comedy show with you.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I had so much fun going to the amusement park with you.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I had so much fun going to the beach with you.,Happy,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I have a hard boundary of no public displays of affection.,Normal,Green_Flag,sexual_boundaries,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I have complete faith in your loyalty.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"I hear you, but I am confused. Let us talk this out.",frustration,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I heard about a new app that helps with productivity. Want to try it out?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I heard there's a sale at our favorite store. Want to check it out?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I knew you could do it.  ,Happy,Green_Flag,freedom_and_support,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I know I can always count on you to be honest with me.,Happy,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I know I can count on you.,Happy,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I know I can rely on you.,Happy,Green_Flag,trusting,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I know I hurt your feelings yesterday.  I'm sorry I did that. I know it' will take a while to stop being upset.  ,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I know you've got this. ,Normal,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,"I know you love me, quirks and all. ",Happy,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I love going out to dinner with you.  ,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love how we can both be our own person.,Happy,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love how we can do some stuff together but still be our own person.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love how we can move past mistakes.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love how we can talk about our future without any fear.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love how we collaborate on planning our vacations.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love how we split our bills fairly.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love how you always make sure to include my family in our plans.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love how you always stand up for what you believe in.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love how you make sure our activities don't revolve around alcohol or drugs.,Normal,Green_Flag,responsible_substance_use,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love how you treat my friends and family with so much respect.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love our cozy movie nights together.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love our deep discussions.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love our friendly banter.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love our friendly interactions.,Happy,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love our fun and spontaneous moments.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love our game nights; they're something I always look forward to.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love our movie nights; they're something I always look forward to.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love our playful and fun moments together when we are home alone,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love our playful banter.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love our spontaneous adventures.,Happy,Green_Flag,sexual_boundaries,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love our spontaneous road trips; they’re always a blast.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"I love seeing you enjoy your hobbies, like painting.",Happy,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love seeing you pursue your passions.,Happy,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love seeing you so passionate about your gardening.,Happy,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love seeing you so passionate about your writing group.,Happy,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love seeing you thrive in your painting hobby.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love that we always try to be gentle with each other.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love that we are always on the same page regarding our physical relationship.,Happy,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love that we both put in effort to keep our home tidy.,Happy,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love that we both take turns planning our weekends.,Happy,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love that we can discuss our finances without arguing.,Happy,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love that we can talk about our dreams and goals.,Happy,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love that we can talk about our plans for the future without any hesitation.,Happy,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love that we're always on the same page once we talk it out.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love that you are my kid's mom.,Happy,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I love that you have your own hobbies and interests.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love the balance we have in our relationship.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love the balance we have.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I love working with you.,Normal,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I love you as you are.,Normal,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,"I love you for exactly who you are, quirks and all.",Normal,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,"I love you for who you are, not who you could be.",Normal,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I love you for who you are.,Normal,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I love you for who you are.,Happy,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I love you just as you are.,Sad,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I love you just the way you are.,Normal,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I love you no matter what life throws our way,Happy,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,"I love you, too.",Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"I made your coffee, just the way you like it.  ",Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I make an effort to understand your perspective.,Sad,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I need so alone time.  I'll be in my room. ,frustration,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I need to go grocery shopping. Do we need anything specific?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I need to renew my driver's license. Do you know where the nearest DMV is?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I noticed the car needs some maintenance. I'll schedule an appointment.,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,"I noticed we're running low on detergent, I'll pick some up on my way back.",Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I only am going to have one drink.  I want to keep a clear head.,Normal,Green_Flag,responsible_substance_use,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I only drink in moderation,Normal,Green_Flag,responsible_substance_use,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I only drink socially.,Normal,Green_Flag,responsible_substance_use,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I prefer to stay sober.,Normal,Green_Flag,responsible_substance_use,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I promise.,Sad,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I realize I was defensive during our conversation. I'll work on being more open-minded.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I realize I was insensitive to your needs. I'll work on being more considerate.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I realize I was too controlling in our plans. I'm sorry for not giving you a say.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I realize I was too focused on myself and not enough on us. I'm sorry for my selfishness.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I realize I was too stubborn during our disagreement. I'm sorry for not compromising.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I realize I was wrong to accuse you without having all the fact! apologize for jumping to conclusions.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I realize I was wrong to dismiss your feelings. I apologize for not listening.,Sad,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
